date,series,value
01/07/2021,Infrastructure,3.6
01/08/2021,Infrastructure,4.1
01/09/2021,Infrastructure,4.3
01/10/2021,Infrastructure,5.3
01/11/2021,Infrastructure,3
01/12/2021,Infrastructure,2.4
01/01/2022,Infrastructure,3.6
01/02/2022,Infrastructure,3.2
01/03/2022,Infrastructure,5.7
01/04/2022,Infrastructure,7.7
01/05/2022,Infrastructure,15.6
01/06/2022,Infrastructure,15.5
01/07/2022,Infrastructure,14.9
01/08/2022,Infrastructure,13.6
01/09/2022,Infrastructure,14.2
01/10/2022,Infrastructure,13.5
01/11/2022,Infrastructure,13.5
01/12/2022,Infrastructure,13.3
01/01/2023,Infrastructure,13.1
01/02/2023,Infrastructure,14.2
01/03/2023,Infrastructure,14.4
01/04/2023,Infrastructure,12.1
01/05/2023,Infrastructure,4.2
01/06/2023,Infrastructure,3.9
01/07/2023,Infrastructure,3.9
01/08/2023,Infrastructure,4.3
01/09/2023,Infrastructure,2.1
01/10/2023,Infrastructure,1.1
01/11/2023,Infrastructure,1.8
01/12/2023,Infrastructure,1.8
01/01/2024,Infrastructure,0.9
01/02/2024,Infrastructure,0.6
01/03/2024,Infrastructure,-0.1
01/01/2014,CPI,1.8
01/02/2014,CPI,1.6
01/03/2014,CPI,1.5
01/04/2014,CPI,1.7
01/05/2014,CPI,1.5
01/06/2014,CPI,1.8
01/07/2014,CPI,1.6
01/08/2014,CPI,1.5
01/09/2014,CPI,1.3
01/10/2014,CPI,1.3
01/11/2014,CPI,1.1
01/12/2014,CPI,0.7
01/01/2015,CPI,0.5
01/02/2015,CPI,0.4
01/03/2015,CPI,0.3
01/04/2015,CPI,0.3
01/05/2015,CPI,0.4
01/06/2015,CPI,0.3
01/07/2015,CPI,0.5
01/08/2015,CPI,0.4
01/09/2015,CPI,0.2
01/10/2015,CPI,0.2
01/11/2015,CPI,0.4
01/12/2015,CPI,0.5
01/01/2016,CPI,0.6
01/02/2016,CPI,0.6
01/03/2016,CPI,0.8
01/04/2016,CPI,0.7
01/05/2016,CPI,0.7
01/06/2016,CPI,0.8
01/07/2016,CPI,0.9
01/08/2016,CPI,1.0
01/09/2016,CPI,1.3
01/10/2016,CPI,1.3
01/11/2016,CPI,1.5
01/12/2016,CPI,1.8
01/01/2017,CPI,1.9
01/02/2017,CPI,2.3
01/03/2017,CPI,2.3
01/04/2017,CPI,2.6
01/05/2017,CPI,2.7
01/06/2017,CPI,2.6
01/07/2017,CPI,2.6
01/08/2017,CPI,2.7
01/09/2017,CPI,2.8
01/10/2017,CPI,2.8
01/11/2017,CPI,2.8
01/12/2017,CPI,2.7
01/01/2018,CPI,2.7
01/02/2018,CPI,2.5
01/03/2018,CPI,2.3
01/04/2018,CPI,2.2
01/05/2018,CPI,2.3
01/06/2018,CPI,2.3
01/07/2018,CPI,2.3
01/08/2018,CPI,2.4
01/09/2018,CPI,2.2
01/10/2018,CPI,2.2
01/11/2018,CPI,2.2
01/12/2018,CPI,2.0
01/01/2019,CPI,1.8
01/02/2019,CPI,1.8
01/03/2019,CPI,1.8
01/04/2019,CPI,2.0
01/05/2019,CPI,1.9
01/06/2019,CPI,1.9
01/07/2019,CPI,2.0
01/08/2019,CPI,1.7
01/09/2019,CPI,1.7
01/10/2019,CPI,1.5
01/11/2019,CPI,1.5
01/12/2019,CPI,1.4
01/01/2020,CPI,1.8
01/02/2020,CPI,1.7
01/03/2020,CPI,1.5
01/04/2020,CPI,0.9
01/05/2020,CPI,0.7
01/06/2020,CPI,0.8
01/07/2020,CPI,1.1
01/08/2020,CPI,0.5
01/09/2020,CPI,0.7
01/10/2020,CPI,0.9
01/11/2020,CPI,0.6
01/12/2020,CPI,0.8
01/01/2021,CPI,0.9
01/02/2021,CPI,0.7
01/03/2021,CPI,1.0
01/04/2021,CPI,1.6
01/05/2021,CPI,2.1
01/06/2021,CPI,2.4
01/07/2021,CPI,2.1
01/08/2021,CPI,3.0
01/09/2021,CPI,2.9
01/10/2021,CPI,3.8
01/11/2021,CPI,4.6
01/12/2021,CPI,4.8
01/01/2022,CPI,4.9
01/02/2022,CPI,5.5
01/03/2022,CPI,6.2
01/04/2022,CPI,7.8
01/05/2022,CPI,7.9
01/06/2022,CPI,8.2
01/07/2022,CPI,8.8
01/08/2022,CPI,8.6
01/09/2022,CPI,8.8
01/10/2022,CPI,9.6
01/11/2022,CPI,9.3
01/12/2022,CPI,9.2
01/01/2023,CPI,8.8
01/02/2023,CPI,9.2
01/03/2023,CPI,8.9
01/04/2023,CPI,7.8
01/05/2023,CPI,7.9
01/06/2023,CPI,7.3
01/07/2023,CPI,6.4
01/08/2023,CPI,6.3
01/09/2023,CPI,6.3
01/10/2023,CPI,4.7
01/11/2023,CPI,4.2
01/12/2023,CPI,4.2
01/01/2024,CPI,4.2
01/02/2024,CPI,3.8
01/03/2024,CPI,3.8
